Title,Authors,Contributors,ISBN/UID,Format,Read Status,Date Added,Last Date Read,Dates Read,Read Count,Moods,Pace,Character- or Plot-Driven?,Strong Character Development?,Loveable Characters?,Diverse Characters?,Flawed Characters?,Star Rating,Review,Content Warnings,Content Warning Description,Tags,Owned?
Henry V: The Astonishing Triumph of England's Greatest Warrior King,Dan Jones,"",B0CTNSKTHD,audio,to-read,2024/11/06,"","",0,"",,,,,,,,,"",,"",No
The Lost Metal,Brandon Sanderson,Michael Kramer (Narrator),9781250859280,audio,read,2024/08/22,2024/08/19,2024/08-2024/08/19,1,"",,"","","","","",4.0,"","","","",No
I'm Glad My Mom Died,Jennette McCurdy,Jennette McCurdy (Narrator),9781797147949,audio,read,2024/09/27,2024/09/26,2024/09/26-2024/09/26,1,"",,,,,,,3.75,"","","","",No
Crying in H Mart,Michelle Zauner,Michelle Zauner (Narrator),9780593153895,audio,read,2024/08/22,2024/08/20,2024/08/20-2024/08/20,1,"",,,,,,,3.75,"","","","",No
The Artist's Way: A Spiritual Path to Higher Creativity,Julia Cameron,"",9781585421466,paperback,to-read,2024/11/23,"","",0,"",,,,,,,,,"",,"",No
Pathogenesis: A History of the World in Eight Plagues,Jonathan Kennedy,Jonathan Kennedy (Narrator),9780593668047,audio,read,2024/11/06,2024/11/19,2024/11/19-2024/11/19,1,"",,,,,,,3.5,"","","","",No
Crossroads of Twilight,Robert Jordan,"Kate Reading (Narrator), Michael Kramer (Narrator)",9781593970369,audio,to-read,2024/11/24,"","",0,"",,,,,,,,,"",,"",No
Leave the World Behind,Rumaan Alam,"",9780062667632,hardcover,to-read,2024/11/16,"","",0,"",,,,,,,,,"",,"",No
The Art of Invisibility: The World's Most Famous Hacker Teaches You How to Be Safe in the Age of Big Brother and Big Data,Kevin D. Mitnick,Robert Vamosi,9780316380508,hardcover,to-read,2024/11/16,"","",0,"",,,,,,,,,"",,"",No
The Song of Achilles,Madeline Miller,Frazer Douglas (Narrator),9780062115577,audio,read,2024/09/12,2024/09/12,2024/09/11-2024/09/12,1,"",,"","","","","",4.0,"","","","",No
The Anthropocene Reviewed: Essays on a Human-Centered Planet,John Green,John Green (Narrator),9780593408537,audio,read,2024/10/01,2024/09/30,2024/09/30-2024/09/30,1,"",,,,,,,3.25,"","","","",No
