Publisher Name,Series Name,Full Title,Release Date,My Rating
Marvel Comics,X-Men (Vol. 6) (2021 - 2024),X-Men #17,2022-11-23,
Marvel Comics,X-Men (Vol. 6) (2021 - 2024),X-Men #18,2023-01-11,
Marvel Comics,X-Men (Vol. 6) (2021 - 2024),X-Men #19,2023-02-15,3.0
Marvel Comics,X-Men (Vol. 6) (2021 - 2024),X-Men #20,2023-03-08,4.0
Marvel Comics,X-Men (Vol. 6) (2021 - 2024),X-Men #21,2023-04-12,4.0
Marvel Comics,X-Men (Vol. 6) (2021 - 2024),X-Men #22,2023-05-17,4.0
Marvel Comics,X-Men (Vol. 6) (2021 - 2024),X-Men #23,2023-06-07,4.0
Marvel Comics,X-Men (Vol. 6) (2021 - 2024),X-Men #24,2023-07-05,4.0
Marvel Comics,X-Men (Vol. 6) (2021 - 2024),X-Men #25,2023-08-02,5.0
Marvel Comics,X-Men (Vol. 6) (2021 - 2024),X-Men #26,2023-09-06,4.0
Marvel Comics,X-Men (Vol. 6) (2021 - 2024),X-Men #27,2023-10-04,4.0
Marvel Comics,X-Men (Vol. 6) (2021 - 2024),X-Men #28,2023-11-01,5.0
Marvel Comics,X-Men (Vol. 6) (2021 - 2024),X-Men #29,2023-12-06,5.0
Marvel Comics,X-Men (Vol. 6) (2021 - 2024),X-Men #30,2024-01-17,5.0
Marvel Comics,X-Men (Vol. 6) (2021 - 2024),X-Men #31,2024-02-07,4.0
Marvel Comics,X-Men (Vol. 6) (2021 - 2024),X-Men #32,2024-03-06,3.0
Marvel Comics,X-Men (Vol. 6) (2021 - 2024),X-Men #33,2024-04-03,4.0
Marvel Comics,X-Men (Vol. 6) (2021 - 2024),X-Men #34,2024-05-01,4.0
Marvel Comics,X-Men (Vol. 6) (2021 - 2024),X-Men #35,2024-06-05,4.0
Marvel Comics,X-Men (Vol. 7) (2024 - Present),X-Men #1,2024-07-10,4.0
Marvel Comics,X-Men (Vol. 7) (2024 - Present),X-Men #2,2024-08-14,4.0
Marvel Comics,X-Men (Vol. 7) (2024 - Present),X-Men #3,2024-08-28,4.0
Marvel Comics,X-Men (Vol. 5) (2019 - 2021),X-Men by Jonathan Hickman Omnibus HC,2022-03-29,
Marvel Comics,X-Men: Before the Fall - Mutant First Strike (2023),X-Men: Before the Fall - Mutant First Strike #1,2023-06-07,4.0
Marvel Comics,X-Men: Before the Fall - Sinister Four (2023),X-Men: Before the Fall - Sinister Four #1,2023-07-05,4.0
Marvel Comics,X-Men: Before the Fall - Sons of X (2023),X-Men: Before the Fall - Sons of X #1,2023-05-03,4.0
Marvel Comics,X-Men: Before the Fall - The Heralds of Apocalypse (2023),X-Men: Before the Fall - The Heralds of Apocalypse #1,2023-06-28,4.0
Marvel Comics,X-Men: Forever (Vol. 3) (2024),X-Men: Forever #1,2024-03-20,4.0
Marvel Comics,X-Men: Forever (Vol. 3) (2024),X-Men: Forever #2,2024-04-24,4.0
Marvel Comics,X-Men: Forever (Vol. 3) (2024),X-Men: Forever #3,2024-05-08,4.0
Marvel Comics,X-Men: Forever (Vol. 3) (2024),X-Men: Forever #4,2024-05-15,4.0
Marvel Comics,X-Men: Hellfire Gala (2022),X-Men: Hellfire Gala #1,2022-07-13,
Marvel Comics,X-Men: Hellfire Gala 2023 (2023),X-Men: Hellfire Gala 2023 #1,2023-07-26,4.0
Marvel Comics,X-Men: Red (Vol. 2) (2022 - 2023),X-Men: Red #1,2022-04-06,
Marvel Comics,X-Men: Red (Vol. 2) (2022 - 2023),X-Men: Red #2,2022-05-18,
Marvel Comics,X-Men: Red (Vol. 2) (2022 - 2023),X-Men: Red #3,2022-06-15,
Marvel Comics,X-Men: Red (Vol. 2) (2022 - 2023),X-Men: Red #4,2022-06-29,
Marvel Comics,X-Men: Red (Vol. 2) (2022 - 2023),X-Men: Red #5,2022-08-03,
Marvel Comics,X-Men: Red (Vol. 2) (2022 - 2023),X-Men: Red #6,2022-09-14,
Marvel Comics,X-Men: Red (Vol. 2) (2022 - 2023),X-Men: Red #7,2022-10-05,
Marvel Comics,X-Men: Red (Vol. 2) (2022 - 2023),X-Men: Red #8,2022-11-02,
Marvel Comics,X-Men: Red (Vol. 2) (2022 - 2023),X-Men: Red #9,2022-12-07,
Marvel Comics,X-Men: Red (Vol. 2) (2022 - 2023),X-Men: Red #10,2023-01-04,
Marvel Comics,X-Men: Red (Vol. 2) (2022 - 2023),X-Men: Red #11,2023-05-10,4.0
Marvel Comics,X-Men: Red (Vol. 2) (2022 - 2023),X-Men: Red #12,2023-06-14,3.0
Marvel Comics,X-Men: Red (Vol. 2) (2022 - 2023),X-Men: Red #13,2023-07-19,4.0
Marvel Comics,X-Men: Red (Vol. 2) (2022 - 2023),X-Men: Red #14,2023-08-16,4.0
Marvel Comics,X-Men: Red (Vol. 2) (2022 - 2023),X-Men: Red #15,2023-09-13,4.0
Marvel Comics,X-Men: Red (Vol. 2) (2022 - 2023),X-Men: Red #16,2023-10-11,5.0
Marvel Comics,X-Men: Red (Vol. 2) (2022 - 2023),X-Men: Red #17,2023-11-08,5.0
Marvel Comics,X-Men: Red (Vol. 2) (2022 - 2023),X-Men: Red #18,2023-12-13,5.0
Marvel Comics,X-Men: The Trial of Magneto (2021),X-Men: The Trial of Magneto #1,2021-08-18,
Marvel Comics,X-Men: The Trial of Magneto (2021),X-Men: The Trial of Magneto #2,2021-09-15,
Marvel Comics,X-Men: The Trial of Magneto (2021),X-Men: The Trial of Magneto #3,2021-10-20,
Marvel Comics,X-Men: The Trial of Magneto (2021),X-Men: The Trial of Magneto #4,2021-12-01,
Marvel Comics,X-Men: The Trial of Magneto (2021),X-Men: The Trial of Magneto #5,2021-12-22,
Marvel Comics,X-Men: The Wedding Special (Vol. 2) (2024),X-Men: The Wedding Special #1,2024-05-29,4.0
Marvel Comics,X-Terminators (Vol. 2) (2022 - 2023),X-Terminators #1,2022-09-21,
Marvel Comics,X-Terminators (Vol. 2) (2022 - 2023),X-Terminators #2,2022-10-26,
Marvel Comics,X-Terminators (Vol. 2) (2022 - 2023),X-Terminators #3,2022-11-30,
Marvel Comics,X-Terminators (Vol. 2) (2022 - 2023),X-Terminators #4,2022-12-28,
Marvel Comics,X-Terminators (Vol. 2) (2022 - 2023),X-Terminators #5,2023-01-25,
Dark Horse Comics,You Look Like Death: Tales From The Umbrella Academy (2020 - 2021),Tales From The Umbrella Academy Vol. 1: You Look Like Death TP,2021-03-17,4.0
DC Comics,Young Justice: Targets (2022),Young Justice: Targets #1,2022-07-26,
DC Comics,Young Justice: Targets (2022),Young Justice: Targets #2,2022-08-23,
DC Comics,Young Justice: Targets (2022),Young Justice: Targets #3,2022-09-27,
DC Comics,Young Justice: Targets (2022),Young Justice: Targets #4,2022-10-25,
DC Comics,Young Justice: Targets (2022),Young Justice: Targets #5,2022-11-22,
DC Comics,Young Justice: Targets (2022),Young Justice: Targets #6,2022-12-27,
